,Exit
1,True
3,False
4,True
7,False
8,False
9,True
10,False
11,False
12,False
14,False
15,False
16,False
18,False
19,True
22,False
23,False
25,False
26,True
27,False
28,False
29,True
31,False
32,False
33,False
34,False
35,True
36,False
37,False
38,False
39,False
41,False
42,False
43,False
44,False
46,False
47,False
50,False
51,False
53,False
54,True
56,False
57,True
58,False
59,False
60,False
61,False
63,False
64,False
65,True
67,False
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,False
76,False
77,True
78,False
79,False
80,True
82,False
83,False
84,False
85,True
88,True
89,True
90,False
91,True
93,True
95,True
97,True
98,False
99,True
100,False
101,False
102,False
103,True
105,False
106,False
107,False
108,False
109,False
110,False
111,False
112,True
113,False
114,True
116,False
117,False
118,False
119,False
120,False
121,False
123,False
124,True
125,False
126,False
128,False
129,False
130,False
131,False
132,False
133,False
134,False
135,False
136,False
141,False
142,True
143,False
144,False
145,False
147,False
148,False
150,False
151,True
152,False
153,False
154,True
157,False
159,False
160,True
162,False
163,False
164,False
165,False
166,False
167,False
168,False
170,False
171,True
172,False
173,False
174,False
175,False
176,False
177,True
178,False
181,False
182,False
183,False
184,False
185,False
186,False
187,False
189,False
190,False
191,False
192,False
195,False
196,True
197,True
199,False
200,False
201,False
202,False
203,False
204,False
206,True
208,False
209,True
210,False
211,False
212,True
213,False
214,True
215,False
216,True
217,True
218,False
219,False
220,False
221,False
222,False
223,True
225,False
226,True
227,False
229,False
230,True
231,False
232,False
233,False
235,False
236,False
237,True
238,True
240,False
241,False
242,False
244,False
246,False
247,True
249,False
250,False
251,False
253,False
254,True
255,False
256,False
257,False
259,False
260,True
261,True
262,False
263,False
264,False
265,False
266,False
267,True
269,False
270,False
271,False
272,False
273,False
274,False
275,False
276,False
277,True
280,False
281,False
283,False
286,False
287,False
289,False
290,False
291,True
292,False
294,True
296,True
297,True
298,False
301,False
302,False
303,False
304,False
305,False
306,True
308,True
309,False
310,False
311,True
312,False
314,False
315,False
316,False
317,True
319,True
321,False
322,False
323,True
324,False
325,False
326,False
327,False
328,False
329,True
330,False
331,False
332,False
333,False
334,True
335,True
336,False
337,True
339,False
340,False
341,False
342,False
343,False
344,False
346,False
347,False
348,False
349,False
350,False
354,False
355,False
357,False
358,False
359,False
361,True
363,False
364,False
365,False
366,False
368,False
370,False
371,False
372,True
374,False
375,False
377,False
380,False
383,False
386,True
388,False
390,False
395,False
397,False
399,True
400,True
401,False
402,False
403,True
405,False
406,True
408,True
411,False
412,False
413,False
414,False
415,False
416,False
418,False
419,False
420,False
422,False
423,False
424,False
425,False
426,False
428,False
430,True
432,False
434,False
435,False
436,False
438,True
439,False
440,True
441,False
442,False
445,False
446,False
447,False
448,False
449,True
450,True
452,False
453,False
454,True
455,False
456,False
457,False
459,False
460,False
461,False
463,False
464,False
466,False
468,False
469,False
470,False
471,False
472,False
473,False
476,False
478,False
479,False
480,False
481,False
482,False
483,False
484,False
485,True
487,False
488,True
489,False
490,False
491,True
492,False
493,False
495,False
496,False
498,False
499,True
500,False
501,True
502,False
504,True
505,False
508,False
510,False
511,False
512,False
513,True
514,False
515,True
516,False
521,True
